trans,site,trt,yr,hab,tot_transhab
1,Ramsey,Surface,2015,EV,170.14
1,Ramsey,Surface,2015,SS,316.75
2,Ramsey,Surface,2015,EV,106.71
2,Ramsey,Surface,2015,SS,248.3
3,Ramsey,Surface,2015,EV,595.58
3,Ramsey,Surface,2015,SS,535.49
4,Ramsey,Surface,2015,EV,41.18
4,Ramsey,Surface,2015,SS,479.83
1,Ramsey,Surface,2016,EV,185.05
1,Ramsey,Surface,2016,SS,45.94
2,Ramsey,Surface,2016,EV,243.91
2,Ramsey,Surface,2016,SS,110.93
3,Ramsey,Surface,2016,EV,282.53
3,Ramsey,Surface,2016,SS,58.53
4,Ramsey,Surface,2016,EV,267.75
4,Ramsey,Surface,2016,SS,260.49
1,Schaefer,Surface,2015,EV,268.35
1,Schaefer,Surface,2015,SS,109.15
1,Schaefer,Surface,2015,SV,319.77
2,Schaefer,Surface,2015,SS,195.31
2,Schaefer,Surface,2015,SV,228.5
3,Schaefer,Surface,2015,EV,117.92
3,Schaefer,Surface,2015,SV,640.75
4,Schaefer,Surface,2015,SS,45.82
1,Schaefer,Surface,2016,EV,117.83
1,Schaefer,Surface,2016,SS,15.3
1,Schaefer,Surface,2016,SV,35.9
2,Schaefer,Surface,2016,EV,101.6
2,Schaefer,Surface,2016,SV,65.27
3,Schaefer,Surface,2016,EV,97.17
3,Schaefer,Surface,2016,SS,17.99
3,Schaefer,Surface,2016,SV,96.16
4,Schaefer,Surface,2016,EV,260.89
4,Schaefer,Surface,2016,SS,22.09
4,Schaefer,Surface,2016,SV,59.12
1,Swartz,Tile,2015,EV,98.34
1,Swartz,Tile,2015,SS,245.72
2,Swartz,Tile,2015,EV,121.38
2,Swartz,Tile,2015,SS,93.7
3,Swartz,Tile,2015,EV,311.3
3,Swartz,Tile,2015,SS,42.91
4,Swartz,Tile,2015,EV,119.56
4,Swartz,Tile,2015,SS,145.96
1,Swartz,Tile,2016,EV,61.73
1,Swartz,Tile,2016,SS,63.74
1,Swartz,Tile,2016,SV,46.97
2,Swartz,Tile,2016,EV,60.1
2,Swartz,Tile,2016,SS,42.22
2,Swartz,Tile,2016,SV,35.14
3,Swartz,Tile,2016,EV,21.29
3,Swartz,Tile,2016,SS,29.08
3,Swartz,Tile,2016,SV,58.85
4,Swartz,Tile,2016,EV,20.21
4,Swartz,Tile,2016,SS,81.97
4,Swartz,Tile,2016,SV,60.02
1,Vermillion Lake,Control,2015,EV,112.71
1,Vermillion Lake,Control,2015,SS,233.35
2,Vermillion Lake,Control,2015,EV,103.05
2,Vermillion Lake,Control,2015,SS,96.11
3,Vermillion Lake,Control,2015,EV,56.08
3,Vermillion Lake,Control,2015,SS,67.23
4,Vermillion Lake,Control,2015,EV,104.03
4,Vermillion Lake,Control,2015,SS,88.36
1,Vermillion Lake,Control,2016,EV,34.83
1,Vermillion Lake,Control,2016,SS,3.7
1,Vermillion Lake,Control,2016,SV,142.08
2,Vermillion Lake,Control,2016,EV,110.29
2,Vermillion Lake,Control,2016,SV,155.56
3,Vermillion Lake,Control,2016,EV,137.42
3,Vermillion Lake,Control,2016,SV,288.7
4,Vermillion Lake,Control,2016,EV,48.4
4,Vermillion Lake,Control,2016,SV,216.86
1,Volker II,Tile,2015,EV,55.05
2,Volker II,Tile,2015,SS,1.23
3,Volker II,Tile,2015,EV,8.54
3,Volker II,Tile,2015,SS,0.62
4,Volker II,Tile,2015,EV,103.02
4,Volker II,Tile,2015,SV,4.86
1,Volker II,Tile,2016,EV,257.91
1,Volker II,Tile,2016,SV,151.11
2,Volker II,Tile,2016,EV,65.91
2,Volker II,Tile,2016,SV,391.5
3,Volker II,Tile,2016,EV,36.58
3,Volker II,Tile,2016,SS,117.71
4,Volker II,Tile,2016,EV,445.71
4,Volker II,Tile,2016,SS,66.64
1,Ziegler,Surface,2015,EV,62.84
1,Ziegler,Surface,2015,SS,12.23
1,Ziegler,Surface,2015,SV,40.23
2,Ziegler,Surface,2015,EV,71.12
2,Ziegler,Surface,2015,SS,53.05
2,Ziegler,Surface,2015,SV,124.91
3,Ziegler,Surface,2015,EV,46.54
3,Ziegler,Surface,2015,SV,61.35
4,Ziegler,Surface,2015,EV,64.44
4,Ziegler,Surface,2015,SV,63.61
1,Ziegler,Surface,2016,EV,128.84
1,Ziegler,Surface,2016,SV,30.68
2,Ziegler,Surface,2016,EV,134.04
2,Ziegler,Surface,2016,SV,32.7
3,Ziegler,Surface,2016,EV,206.16
3,Ziegler,Surface,2016,SV,33.75
4,Ziegler,Surface,2016,EV,74.4
4,Ziegler,Surface,2016,SV,121.78
